,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
124,Audi,A3,5 door Hatchback,S line,30 TFSI S Tronic Comfort+Sound,Petrol,Automatic,110 bhp,52.3 mpg,,32080
125,Audi,A3,5 door Hatchback,S line,35 TFSI,Petrol,Manual,150 bhp,47.1 mpg,115 g/km,30940
126,Audi,A3,5 door Hatchback,S line,35 TFSI S Tronic,Petrol,Automatic,150 bhp,47.9 mpg,,32490
127,Audi,A3,5 door Hatchback,S line,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,47.1 mpg,115 g/km,32135
128,Audi,A3,5 door Hatchback,S line,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,47.9 mpg,,33685
129,Audi,A3,5 door Hatchback,S line,40 TFSI e S Tronic,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,37690
130,Audi,A3,5 door Hatchback,S line,40 TFSI e S Tronic 17 inch Alloy,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,37690
131,Audi,A3,5 door Hatchback,S line,40 TFSI e S Tronic Comfort+Sound,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,38885
132,Audi,A3,5 door Hatchback,S line,40 TFSI e S TronicC+S 17 inch Alloy,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,38885
133,Audi,A3,5 door Hatchback,S line,35 TDI S Tronic,Diesel,Automatic,150 bhp,58.9 mpg,102 g/km,34350
134,Audi,A3,5 door Hatchback,S line,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,58.9 mpg,102 g/km,35545
135,Audi,A3,5 door Hatchback,Edition 1,35 TFSI,Petrol,Manual,150 bhp,46.3 mpg,116 g/km,34190
136,Audi,A3,5 door Hatchback,Edition 1,35 TFSI S Tronic,Petrol,Automatic,150 bhp,47.1 mpg,,35590
137,Audi,A3,5 door Hatchback,Edition 1,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,46.3 mpg,116 g/km,35385
138,Audi,A3,5 door Hatchback,Edition 1,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,47.1 mpg,,36785
139,Audi,A3,5 door Hatchback,Edition 1,35 TDI S Tronic,Diesel,Automatic,150 bhp,57.6 mpg,103 g/km,37600
140,Audi,A3,5 door Hatchback,Edition 1,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,57.6 mpg,103 g/km,38795
141,Audi,A3,5 door Hatchback,S line Competition,45 TFSI e S Tronic,Petrol/PlugIn Elec Hybrid,Automatic,245 bhp,N/A,,39440
142,Audi,A3,5 door Hatchback,S line Competition,45 TFSI e S Tronic C+S,Petrol/PlugIn Elec Hybrid,Automatic,245 bhp,N/A,,40635
143,Audi,A3,5 door Hatchback,Standard,S3 TFSI Quattro S Tronic,Petrol,Automatic,310 bhp,34.9 mpg,,40655
144,Audi,A3,5 door Hatchback,S3,S3 TFSI Quattro S Tronic Comfort+Sound,Petrol,Automatic,310 bhp,34.9 mpg,,41850
145,Audi,A3,5 door Hatchback,Vorsprung,S3 TFSI Quattro S Tronic,Petrol,Automatic,310 bhp,34.4 mpg,,48405
146,Audi,A3,4 door Saloon,Sport,30 TFSI,Petrol,Manual,110 bhp,51.4 mpg,106 g/km,28000
147,Audi,A3,4 door Saloon,Sport,30 TFSI S Tronic,Petrol,Automatic,110 bhp,55.4 mpg,,29550
148,Audi,A3,4 door Saloon,Sport,30 TFSI Comfort+Sound,Petrol,Manual,110 bhp,51.4 mpg,,29195
149,Audi,A3,4 door Saloon,Sport,30 TFSI S Tronic Comfort+Sound,Petrol,Automatic,110 bhp,55.4 mpg,,30745
150,Audi,A3,4 door Saloon,Sport,35 TFSI,Petrol,Manual,150 bhp,50.4 mpg,,29565
